varname,description,in_preprocess,pitch,bat
F_LF_A,NA,0,0,0
F_LF_E,NA,0,0,0
F_LF_DP,NA,0,0,0
F_LF_TP,NA,0,0,0
F_CF_POS,NA,1,0,1
F_CF_G,NA,0,0,0
F_CF_GS,NA,0,0,0
F_CF_OUT,NA,0,0,0
F_CF_TC,NA,0,0,0
F_CF_PO,NA,0,0,0
F_CF_A,NA,0,0,0
F_CF_E,NA,0,0,0
F_CF_DP,NA,0,0,0
F_CF_TP,NA,0,0,0
F_RF_POS,NA,1,0,1
F_RF_G,NA,0,0,0
F_RF_GS,NA,0,0,0
F_RF_OUT,NA,0,0,0
F_RF_TC,NA,0,0,0
F_RF_PO,NA,0,0,0
F_RF_A,NA,0,0,0
F_RF_E,NA,0,0,0
F_RF_DP,NA,0,0,0
F_RF_TP,NA,0,0,0
F_C_POS,NA,1,0,1
F_C_G,NA,0,0,0
F_C_GS,NA,0,0,0
F_C_OUT,NA,0,0,0
F_C_TC,NA,0,0,0
F_C_PO,NA,0,0,0
F_C_A,NA,0,0,0
F_C_E,NA,0,0,0
F_C_DP,NA,0,0,0
F_C_TP,NA,0,0,0
F_C_PB,NA,0,0,0
F_C_XI,NA,0,0,0
F_P_POS,NA,1,0,1
F_P_G,NA,0,0,0
F_P_GS,NA,0,0,0
F_P_OUT,NA,0,0,0
F_P_TC,NA,0,0,0
F_P_PO,NA,0,0,0
F_P_A,NA,0,0,0
F_P_E,NA,0,0,0
F_P_DP,NA,0,0,0
F_P_TP,NA,0,0,0
